8405	Un uomo in camicia bianca sta lavorando su una macchina.
7044	Un uomo in camicia bianca sta lavorando su una macchina.
3975	Un uomo in camicia bianca sta lavorando su una macchina.
13323	Un uomo in camicia bianca sta lavorando su una macchina.
9280	Un uomo con un cappello da baseball sta lavorando ad un progetto di legno.
18504	Un uomo in camicia bianca sta lavorando su una macchina.
10164	Un uomo con un cappello da cowboy sta guidando un cavallo.
28410	Un uomo in camicia bianca sta lavorando su una macchina.
5479	Un uomo in camicia bianca sta lavorando su una macchina.
25652	Un uomo in camicia bianca sta lavorando su una macchina.
20058	Un uomo in camicia bianca sta lavorando su una macchina.
1145	Un uomo in camicia bianca sta lavorando su una macchina.
15975	Un uomo in camicia bianca sta lavorando su una macchina.
12968	Un uomo in camicia bianca sta lavorando su una macchina.
18464	Un uomo in camicia bianca sta lavorando su una macchina.
4808	Un uomo in camicia bianca sta lavorando su una macchina.
3197	Un uomo in camicia bianca sta lavorando su una macchina.
9451	Un uomo in camicia bianca sta lavorando su una macchina.
20138	Un uomo in camicia bianca sta lavorando su una macchina.
25732	Un uomo con un cappello da cowboy sta guidando un cavallo.
11497	Un uomo in camicia bianca sta lavorando su una macchina.
27643	Un uomo in camicia bianca sta lavorando su una macchina.
7454	Un uomo in camicia bianca sta lavorando su una macchina.
6992	Un uomo in camicia bianca sta lavorando su una macchina.
25295	Un uomo in camicia bianca sta lavorando su una macchina.
19544	Un uomo in camicia bianca sta lavorando su una macchina.
22261	Un uomo in camicia bianca sta lavorando su una macchina.
9137	Un uomo in camicia bianca sta lavorando su una macchina.
13094	Un uomo in camicia bianca sta lavorando su una macchina.
2089	Un uomo in camicia bianca sta lavorando su una macchina.
9862	Un uomo in camicia bianca sta lavorando su una macchina.
23194	Un uomo in camicia bianca sta lavorando su una macchina.
6990	Un uomo in camicia bianca sta lavorando su una macchina.
7330	Un uomo con un cappello da cowboy sta guidando un cavallo.
10947	Un uomo in camicia bianca sta lavorando su una macchina.
27655	Un uomo in camicia bianca sta lavorando su una macchina.
4605	Un uomo in camicia bianca sta lavorando su una macchina.
2274	Un uomo in camicia bianca sta lavorando su una macchina.
25903	Un uomo in camicia bianca sta lavorando su una macchina.
1782	Un uomo in camicia bianca sta lavorando su una macchina.
22936	Un uomo in camicia bianca sta lavorando su una macchina.
17027	Un uomo in camicia bianca sta lavorando su una macchina.
20853	Un uomo in camicia bianca sta lavorando su una macchina.
