8175	Un uomo con un cappello da baseball e una camicia bianca sta lavorando su un pezzo di elettronica.
22115	Un gruppo di persone che si divertono in un mercato.
2458	Un ragazzo in maglietta gialla salta da una scogliera.
9492	Un uomo in camicia rossa sta scalando una montagna.
17031	Una donna con un vestito rosa che tiene in mano un fiore giallo.
21597	Una donna con un vestito rosa e un cappello da baseball sta giocando a tennis.
8940	Un cane bianco e nero corre attraverso un campo erboso.
10010	Un uomo in camicia rossa sta facendo un trucco di rollerskating.
9323	Un uomo in bicicletta sta attraversando un campo.
29108	Un gruppo di persone in bicicletta lungo una strada.
28570	Una donna con un vestito rosa che tiene in mano un fiore giallo.
8015	Un gruppo di persone che camminano in un mercato.
661	Un gruppo di persone che giocano a bagpi.
11124	Un uomo con un cappello da baseball retrostante sta lavorando su una bicicletta.
18666	Un uomo in camicia rossa sta scalando una montagna.
2909	Un uomo in bicicletta sta attraversando un lago.
14048	Un uomo in bicicletta sta attraversando un ponte.
11656	Un gruppo di persone che camminano per strada.
28955	Un uomo in camicia bianca e pantaloni neri sta facendo una foto.
26039	Un uomo in maglietta gialla sta giocando a basket.
20448	Un uomo con un cappello da baseball retrostante sta guardando un altro uomo che sta per salire su un treno.
13916	Un uomo con un cappello da baseball e un cappello da baseball è seduto su una sedia pieghevole a un tavolo da picnic.
30665	Un uomo con un cappello da baseball retrostante sta suonando una chitarra.
27457	Un uomo con un cappello da baseball e una camicia nera sta suonando una chitarra.
1594	Un uomo in maglietta gialla sta giocando a tennis.
887	Un uomo con un cappello da cowboy bianco e un gilet nero sta tagliando un pezzo di legno.
12375	Un ragazzo in maglietta gialla che gioca con un giocattolo.
26946	Un uomo con un cappello da baseball e una camicia nera sta cucinando.
18499	Un cane marrone sta saltando in un stagno.
2260	Un uomo con un cappello da baseball e una camicia bianca sta lavorando ad una.
27872	Un ragazzo in maglietta gialla gioca a calcio.
14260	Un uomo in camicia rossa sta scalando una montagna.
97	Un uomo in bicicletta sta attraversando un edificio.
27682	Un gruppo di uomini gioca a calcio.
4981	Un uomo con un cappello da baseball e una camicia bianca sta lavorando ad una scultura di ghiaccio.
8611	Un uomo con un cappello da baseball e una camicia bianca sta giocando a tennis.
9241	Un uomo in camicia bianca e jeans blu sta facendo un trucco di rollerskating.
4942	Una donna con un vestito rosa che tiene in mano un oggetto di bambù.
11278	Un gruppo di persone che camminano in un mercato.
19624	Un ragazzo in maglietta gialla gioca con un giocattolo.
26615	Un gruppo di bambini gioca a tug-of-war.
19354	Un uomo in camicia bianca e jeans blu sta in piedi e guarda un altro uomo che cammina.
16715	Un uomo in camicia rossa sta scalando una montagna.
13650	Un gruppo di persone che camminano in un mercato di strada.
7912	Un cane bianco e nero che salta in aria per prendere una Frisbee.
14117	Un uomo in bicicletta sta attraversando un ponte.
27250	Un ragazzo in maglietta gialla salta da una scogliera.
2103	Un bambino in piscina che gioca con un giocattolo.
28605	Un uomo con un cappello da baseball e una camicia bianca sta lavorando su un treno.
9042	Un gruppo di persone che si riuniscono in un bar.
21635	Un uomo in bicicletta sta attraversando un ponte.
11906	Un uomo con un cappello da baseball e una camicia bianca sta lavorando ad una.
8412	Un uomo in camicia rossa sta giocando a ping-pong.
12994	Un cane bianco e nero corre attraverso un campo erboso.
10629	Un uomo in camicia bianca sta facendo un pisolino su una panchina.
20932	Un ragazzo in maglietta gialla gioca con un giocattolo.
29916	Un uomo con un cappello da baseball e una camicia nera sta cucinando cibo.
21423	Un gruppo di persone che camminano per strada.
15792	Una donna con un vestito rosa e un cappello da baseball sta sorridendo.
26370	Un uomo con un cappello da baseball e una camicia nera sta cucinando.
29043	Due uomini che giocano a calcio.
21580	Un uomo in camicia bianca sta lavorando ad una struttura di legno.
29862	Un cane bianco e nero che salta in aria per prendere una Frisbee.
19037	Un bambino in maglietta gialla gioca con un giocattolo.
20891	Un gruppo di persone che giocano a calcio.
5240	Un uomo in camicia bianca e cappello da cowboy sta guidando un cavallo.
9308	Un ragazzo in maglietta gialla gioca con un giocattolo.
21219	Un gruppo di persone che camminano in un parco.
24836	Un uomo con un cappello da baseball retrostante sta guardando un altro uomo che sta per fare una foto.
